fairness,alpha,method,lambda,n,reg_norm_m,reg_norm_s,fair_m,fair_s,mse_m
dp,2.0,fplg,2.0,5,0.1276,0.002,1.8038,0.1347,123.1588
dp,2.0,fpto,0.0,5,0.1534,0.0033,1.7503,0.0891,140.1245
dp,2.0,fpto,0.5,5,0.1537,0.0033,1.7177,0.089,140.1448
dp,2.0,fpto,1.0,5,0.154,0.0034,1.6852,0.0888,140.1793
dp,2.0,fpto,2.0,5,0.1546,0.0034,1.6206,0.0884,140.2856
dp,2.0,mgda,0.0,5,0.1526,0.0016,0.309,0.0491,351.6272
dp,2.0,nashmtl,0.0,5,0.1279,0.0019,1.9504,0.1323,125.8647
dp,2.0,pcgrad,0.0,5,0.1443,0.0094,0.4627,0.2212,132.3415
dp,2.0,pto,0.0,5,0.1534,0.0033,1.7503,0.0891,140.1245
dp,2.0,saa,0.0,5,0.2795,0.0024,0.001,0.0,249.1728
dp,2.0,wdro,0.0,5,0.1542,0.0033,1.7565,0.0855,142.101
mad,0.5,cagrad,0.0,5,0.135,0.0211,56.4806,36.5388,267.1274
mad,0.5,dfl,0.0,5,0.0894,0.0008,380932.9634,266151.0067,1214450.5703
mad,0.5,fdfl,0.0,5,0.0894,0.0008,380932.9634,266151.0067,1214450.5703
mad,0.5,fdfl,0.5,4,0.0955,0.005,520.7169,735.8123,5156.7103
mad,0.5,fdfl,1.0,5,0.1229,0.0248,471.0188,352.5608,2499.956
mad,0.5,fdfl,2.0,3,0.1346,0.0261,90.1534,62.781,440.4373
mad,0.5,fdfl-0.1,0.0,5,0.0888,0.0006,28.969,1.3,129.0727
mad,0.5,fdfl-0.1,0.5,5,0.0888,0.0007,27.3154,1.8367,128.2963
mad,0.5,fdfl-0.1,1.0,5,0.0888,0.001,26.3005,1.7514,127.9899
mad,0.5,fdfl-0.1,2.0,5,0.0886,0.0003,25.5082,1.2017,127.7661
mad,0.5,fdfl-0.5,0.0,5,0.0898,0.0006,27.4683,1.3548,125.381
mad,0.5,fdfl-0.5,0.5,5,0.09,0.0006,27.7377,1.4623,127.4194
mad,0.5,fdfl-0.5,1.0,5,0.0902,0.0007,27.5208,2.14,129.194
mad,0.5,fdfl-0.5,2.0,5,0.0902,0.0009,27.3663,4.4027,132.805
mad,0.5,fdfl-scal,0.0,5,0.09,0.0006,26.5275,2.6831,137.9552
mad,0.5,fdfl-scal,0.5,5,0.0901,0.0006,25.9364,2.5811,138.8581
mad,0.5,fdfl-scal,1.0,5,0.0913,0.0028,28.7522,8.9137,140.8902
mad,0.5,fdfl-scal,2.0,5,0.0929,0.0038,32.7473,12.4612,145.7906
mad,0.5,fdfl-scal-mu2,0.0,5,0.0977,0.0048,43.6834,7.8014,159.9328
mad,0.5,fdfl-scal-mu2,0.5,5,0.0946,0.007,36.0323,14.3826,151.2985
mad,0.5,fdfl-scal-mu2,1.0,5,0.0951,0.01,33.1356,19.5189,152.8182
mad,0.5,fdfl-scal-mu2,2.0,5,0.0928,0.0024,26.772,8.4233,131.4548
mad,0.5,fplg,0.0,5,0.0886,0.0008,27.2454,1.6354,127.2856
mad,0.5,fplg,0.5,5,0.0877,0.0008,25.4105,1.6952,125.2448
mad,0.5,fplg,1.0,5,0.0882,0.0007,24.0843,1.9311,124.5067
mad,0.5,fplg,2.0,5,0.0891,0.0011,22.4134,1.0457,125.7641
mad,0.5,fpto,0.0,5,0.1007,0.0014,23.9377,1.3727,140.1245
mad,0.5,fpto,0.5,5,0.0999,0.0011,22.0956,0.7986,135.3111
mad,0.5,fpto,1.0,5,0.1002,0.001,20.9871,0.5934,133.7947
mad,0.5,fpto,2.0,5,0.1029,0.0012,17.4002,3.3771,145.6373
mad,0.5,mgda,0.0,5,0.0953,0.0073,25.1144,5.4027,153.0753
mad,0.5,nashmtl,0.0,5,0.0896,0.001,36.8156,8.1458,158.6624
mad,0.5,pcgrad,0.0,5,0.1186,0.0301,20.5785,7.9769,192.2643
mad,0.5,pto,0.0,5,0.1007,0.0014,23.9377,1.3727,140.1245
mad,0.5,saa,0.0,5,0.1496,0.0001,58.4983,3.6469,249.1728
mad,0.5,wdro,0.0,5,0.1011,0.0014,24.4226,1.4617,142.101
mad,2.0,cagrad,0.0,5,0.128,0.0015,24.294,3.7547,131.6694
mad,2.0,dfl,0.0,5,0.129,0.0027,78.6306,7.0012,293.8929
