method,fairness,alpha,lambda,n_seeds,source,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std
cagrad,dp,0.5,0.0,5,makeup_2026_05_17,0.0638575339682706,0.0024180905909958026,0.1180556363077672,0.059158279584636715,368.04099089742846,12.47435747313717
cagrad,dp,2.0,0.0,5,makeup_2026_05_17,0.12705578812250376,0.0019433028915197298,1.9139903227106563,0.12000748584470354,129.60611920186997,1.605448767402875
cagrad,mad,0.5,0.0,5,makeup_2026_05_17,0.062421169290852584,0.0024012464309683544,34.48616702435939,4.059294338064619,201.47781983529137,8.306529277191611
cagrad,mad,2.0,0.0,5,makeup_2026_05_17,0.12784326309129668,0.0017604894689934004,23.372426882721275,3.976250636640373,133.06638308492833,10.044178848476092
cagrad,wasserstein2_dp,0.5,0.0,5,makeup_2026_05_17,0.06370791999573129,0.0023686693309213367,0.19453365619866625,0.1799778618410685,367.34847218385823,13.105155641229617
cagrad,wasserstein2_dp,2.0,0.0,5,makeup_2026_05_17,0.1285241479862413,0.001805976306919832,15.921548491948856,3.6829963012658844,130.06673703525422,2.740719537790894
dfl,atkinson,0.5,0.0,5,fdfl_mu_addon,0.07587048242600226,0.001352048323617727,0.015273000245544139,0.0013875272609203352,397.0666794755062,5.561423317270762
dfl,atkinson,2.0,0.0,5,fdfl_mu_addon,0.12904394779248565,0.0027109099417586308,0.0124546528226723,0.0010366281662029634,293.84540151130244,20.312363716
dfl,bias_parity,0.5,0.0,5,fdfl_mu_addon,0.07587048242600226,0.001352048323617727,2.5266120497951152,0.06622180649424718,397.0666794755062,5.561423317270762
dfl,bias_parity,2.0,0.0,5,fdfl_mu_addon,0.12904394779248565,0.0027109099417586308,2.0039028418816405,0.11190009503550839,293.84540151130244,20.312363716
dfl,dp,0.5,0.0,5,fdfl_mu_addon,0.07587048242600226,0.001352048323617727,0.0030251388224316203,0.0019635983055069093,397.0666794755062,5.561423317270762
dfl,dp,2.0,0.0,5,fdfl_mu_addon,0.12904394779248565,0.0027109099417586308,0.5224980144581761,0.10951625473240821,293.84540151130244,20.312363716
dfl,mad,0.5,0.0,5,fdfl_mu_addon,0.07587048242600226,0.001352048323617727,120.00205381628678,5.616151313584415,397.0666794755062,5.561423317270762
dfl,mad,2.0,0.0,5,fdfl_mu_addon,0.12904394779248565,0.0027109099417586308,78.60919096343339,6.974467718836839,293.84540151130244,20.312363716
dfl,wasserstein2_dp,0.5,0.0,5,makeup_2026_05_17,0.07587048243118767,0.001352048350793462,0.00018845804990820996,0.0001414195184430031,397.06667947580087,5.561423312543327
dfl,wasserstein2_dp,2.0,0.0,5,makeup_2026_05_17,0.1290396680829748,0.00266440468513611,2.658898810263103,1.1314130013312482,293.8929385911465,20.360470016733455
fdfl,atkinson,0.5,0.5,5,fdfl_mu_addon,0.07586996082360538,0.0013520889962272316,0.01527298196193554,0.0013875266144027288,397.0666176357114,5.561464433012217
fdfl,atkinson,0.5,1.0,5,fdfl_mu_addon,0.07586943918534232,0.0013521297140979846,0.01527296367530846,0.0013875259671468922,397.0665557591992,5.5615055470566706
fdfl,atkinson,0.5,2.0,5,fdfl_mu_addon,0.0758683958154007,0.0013522113464956137,0.0152729270958058,0.0013875246698348013,397.06643191331307,5.561587812926198
fdfl,atkinson,2.0,0.5,5,fdfl_mu_addon,0.1291055474322654,0.0026753529231141825,0.0124498900217896,0.0010429702284244615,293.8261273415585,20.3756239600657
fdfl,atkinson,2.0,1.0,5,fdfl_mu_addon,0.1291374182917776,0.002708587202051557,0.0125455358176944,0.0008534297740912766,295.88243870051025,21.07202943073912
fdfl,atkinson,2.0,2.0,5,fdfl_mu_addon,0.12918727493230792,0.0026702040337934886,0.01244084597916104,0.0010501663899603966,293.5324568671482,20.292062083408013
fdfl,bias_parity,0.5,0.5,5,fdfl_mu_addon,0.07578994814457848,0.0013520216762852885,2.526358013561958,0.06622447707276141,397.0326191680556,5.564739820555758
fdfl,bias_parity,0.5,1.0,5,fdfl_mu_addon,0.07570927504463854,0.0013525007257897727,2.5261013720258014,0.06622682521732727,396.99813384438227,5.56821264353292
fdfl,bias_parity,0.5,2.0,5,fdfl_mu_addon,0.07554746551982344,0.001355004373628303,2.5255799067694045,0.06623016454472959,396.9278448342797,5.575674035220737
fdfl,bias_parity,2.0,0.5,5,fdfl_mu_addon,0.1292351874738982,0.0026180771638140425,1.99009633260348,0.12019466596596272,291.62438428526946,20.689849870542794
fdfl,bias_parity,2.0,1.0,5,fdfl_mu_addon,0.12917146868989887,0.002680447327598262,1.9919087252277363,0.11494899815215776,291.9510160316884,20.654042450816778
fdfl,bias_parity,2.0,2.0,5,fdfl_mu_addon,0.12903998507613873,0.0027527756995384413,1.9913580892995608,0.11086994141228011,290.9173491932591,21.16794070052872
fdfl,dp,0.5,0.5,5,fdfl_mu_addon,0.07585576521162796,0.0012986643341304103,0.00284098870152334,0.0018553662760343152,397.06271352714333,5.5469984324813195
fdfl,dp,0.5,1.0,5,fdfl_mu_addon,0.0758429218518981,0.001245841216187377,0.0026679574215234,0.001739980306930942,397.0593109523692,5.533875202973499
fdfl,dp,0.5,2.0,5,fdfl_mu_addon,0.07582231276795832,0.0011410779446866096,0.0023525381998785798,0.0014902527143325905,397.05402274681524,5.511183248835313
fdfl,dp,2.0,0.5,5,fdfl_mu_addon,0.12932512432667861,0.0026909988732165347,0.5035238122493664,0.11872068336844281,296.2177863965417,20.575724393162798
fdfl,dp,2.0,1.0,5,fdfl_mu_addon,0.12894560924020698,0.002728197360442295,0.51699732743518,0.1052608878431491,294.3461936443612,20.037832616511658
fdfl,dp,2.0,2.0,5,fdfl_mu_addon,0.1293982130877039,0.002628223523785069,0.48661768411783474,0.11666127541992592,299.12746955911996,20.31720710129749
fdfl,mad,0.5,0.5,5,fdfl_mu_addon,0.06669921354204314,0.003570558069352552,114.2588507862337,6.345913840762591,386.257635831696,9.14668891293183
fdfl,mad,0.5,1.0,5,fdfl_mu_addon,0.07223023839507996,0.007325771603298665,51.44234206187142,18.60949820726443,281.2581422471794,35.23855051331804
fdfl,mad,0.5,2.0,5,fdfl_mu_addon,0.07569653167990498,0.003328748722840658,30.390824947746744,2.238100320036767,245.26836770064577,8.65852615721853
fdfl,mad,2.0,0.5,5,fdfl_mu_addon,0.1285907433588377,0.0026446492959466563,43.37982163029417,4.322787311974525,201.70204233251505,18.74422667495606
fdfl,mad,2.0,1.0,5,fdfl_mu_addon,0.12821308783060467,0.0021724979800765176,30.251677482409427,0.8770271527741716,152.03495208800385,3.8778423547192555
fdfl,mad,2.0,2.0,5,fdfl_mu_addon,0.128734590740016,0.002190419252329788,29.68383136365925,24.527296133289067,160.29086054622712,19.79416094460134
fdfl,wasserstein2_dp,0.5,0.0,5,makeup_2026_05_17,0.07587048243118767,0.001352048350793462,0.00018845804990820996,0.0001414195184430031,397.06667947580087,5.561423312543327
fdfl,wasserstein2_dp,0.5,0.5,5,makeup_2026_05_17,0.07587059988131158,0.0013470967097049648,0.000187273074276422,0.00014001438245585701,397.06706561273637,5.560573068216351
fdfl,wasserstein2_dp,0.5,1.0,5,makeup_2026_05_17,0.07587086332967229,0.0013433923233064128,0.00018659182599354592,0.00013919905948051712,397.0674778188905,5.559906086514241
fdfl,wasserstein2_dp,0.5,2.0,5,makeup_2026_05_17,0.07587213340096627,0.0013370459805458026,0.00018535426317643674,0.00013771712824099035,397.0685965059899,5.558754160976426
fdfl,wasserstein2_dp,2.0,0.0,5,makeup_2026_05_17,0.1290396680829748,0.00266440468513611,2.658898810263103,1.1314130013312482,293.8929385911465,20.360470016733455
fdfl,wasserstein2_dp,2.0,0.5,5,makeup_2026_05_17,0.1293818864774143,0.0025929029916993557,2.074181159482424,0.9539415006005897,303.5863415150837,19.34029987518181
fdfl,wasserstein2_dp,2.0,1.0,5,makeup_2026_05_17,0.12945615836625224,0.0026090665138650366,1.9350314226014447,0.7019349440582033,305.3994152288397,16.771220788868987
fdfl,wasserstein2_dp,2.0,2.0,5,makeup_2026_05_17,0.12994402953730022,0.0023389890418028334,1.4753779727789604,0.7008585111449301,315.1703125955342,18.527683787512352
fdfl-0.1,atkinson,0.5,0.0,5,fdfl_mu_addon,0.07545968185732828,0.0013114147672135545,0.015267408581993939,0.0013869164890228723,396.80878384348455,5.562209547252169
fdfl-0.1,atkinson,0.5,0.5,5,fdfl_mu_addon,0.07545915797348095,0.0013114715594854968,0.01526738951031842,0.0013869156425783463,396.8087128470707,5.562254468396453
fdfl-0.1,atkinson,0.5,1.0,5,fdfl_mu_addon,0.07545863528178562,0.0013115289952807389,0.0152673704690763,0.0013869147847191897,396.8086421908749,5.562299746141306
fdfl-0.1,atkinson,0.5,2.0,5,fdfl_mu_addon,0.0754575886187895,0.0013116425110069063,0.01526733234925146,0.001386913112445701,396.8085004037993,5.562389460592213
fdfl-0.1,atkinson,2.0,0.0,5,fdfl_mu_addon,0.12822444717422116,0.001685634660150326,0.00781272578220486,0.0005327944457210907,129.6923493494313,1.827406528752983
fdfl-0.1,atkinson,2.0,0.5,5,fdfl_mu_addon,0.1282271046821843,0.0016853698656556049,0.00781171687614172,0.0005333239294908112,129.68765393510097,1.824266880743113
fdfl-0.1,atkinson,2.0,1.0,5,fdfl_mu_addon,0.1282252809485067,0.0016872959768473204,0.0078123707102103,0.0005323793473457293,129.69183218775234,1.82585326216051
fdfl-0.1,atkinson,2.0,2.0,5,fdfl_mu_addon,0.1282260245332781,0.0016868289472700862,0.0078116345654019,0.0005316368531463518,129.69000248094403,1.8237836272137862
fdfl-0.1,bias_parity,0.5,0.0,5,fdfl_mu_addon,0.07545968185732828,0.0013114147672135545,2.5255425612755906,0.0662012911655529,396.80878384348455,5.562209547252169
fdfl-0.1,bias_parity,0.5,0.5,5,fdfl_mu_addon,0.07537966007644231,0.0013133568971990441,2.5252787683705518,0.06620254741713498,396.7733704619571,5.565957450215841
fdfl-0.1,bias_parity,0.5,1.0,5,fdfl_mu_addon,0.07529946909947857,0.001315828905824338,2.5250120126029802,0.06620346386693134,396.737496997052,5.56989289739065
fdfl-0.1,bias_parity,0.5,2.0,5,fdfl_mu_addon,0.07513840552961444,0.0013224831829765846,2.524469173665432,0.06620435044708214,396.6642809328377,5.578342021780922
fdfl-0.1,bias_parity,2.0,0.0,5,fdfl_mu_addon,0.12822444717422116,0.001685634660150326,0.5511040657372269,0.0804470464632271,129.6923493494313,1.827406528752983
fdfl-0.1,bias_parity,2.0,0.5,5,fdfl_mu_addon,0.1282089529361392,0.0016795157069979406,0.5157539421122889,0.0808628727683002,129.77487718043315,1.8010293878518118
fdfl-0.1,bias_parity,2.0,1.0,5,fdfl_mu_addon,0.12819641250490912,0.001674752199637593,0.4804087955280128,0.08091850283828832,129.878591866015,1.7832399803642773
fdfl-0.1,bias_parity,2.0,2.0,5,fdfl_mu_addon,0.12818321492067353,0.0016661733360015386,0.4062425026407051,0.08151286839586022,130.18708588078482,1.7391350943056525
fdfl-0.1,dp,0.5,0.0,5,fdfl_mu_addon,0.07545968185732828,0.0013114147672135545,0.00292528080621364,0.0023102625589465063,396.80878384348455,5.562209547252169
fdfl-0.1,dp,0.5,0.5,5,fdfl_mu_addon,0.07545857393578964,0.0012518217073243687,0.0027649667372678,0.002168579677583795,396.8104696581117,5.55324973078469
fdfl-0.1,dp,0.5,1.0,5,fdfl_mu_addon,0.07545876810490232,0.001192831935197693,0.0026100461971634,0.0020276027520456223,396.81249084560966,5.545186985168763
fdfl-0.1,dp,0.5,2.0,5,fdfl_mu_addon,0.07546170541145958,0.0010779624875616057,0.0023170750637716,0.0017498750905730845,396.8169545389827,5.5308242685531095
fdfl-0.1,dp,2.0,0.0,5,fdfl_mu_addon,0.12822444717422116,0.001685634660150326,1.9752967285970315,0.12263729964117959,129.6923493494313,1.827406528752983
fdfl-0.1,dp,2.0,0.5,5,fdfl_mu_addon,0.1282466199688817,0.0016945252997060019,1.9404749877059322,0.1223477486106854,129.63630715362802,1.8535177643847909
fdfl-0.1,dp,2.0,1.0,5,fdfl_mu_addon,0.12827058005750194,0.0017056381289293889,1.9071384304579595,0.12190378374000692,129.61521716295124,1.8841811229084802
fdfl-0.1,dp,2.0,2.0,5,fdfl_mu_addon,0.12833423447442213,0.0017230849870807738,1.8413683225571926,0.12083916062722143,129.6375867251767,1.9360602990134204
fdfl-0.1,mad,0.5,0.0,5,fdfl_mu_addon,0.07545968185732828,0.0013114147672135545,119.89753047295844,5.613450239704153,396.80878384348455,5.562209547252169
fdfl-0.1,mad,0.5,0.5,5,fdfl_mu_addon,0.06611945356596804,0.003596323211099309,113.58601102645125,6.537619393908829,385.14814665444766,9.607975048947644
fdfl-0.1,mad,0.5,1.0,5,fdfl_mu_addon,0.07262271094201636,0.007083743316474963,49.58602890596828,16.80119260130608,277.7206562913188,32.654901676549365
fdfl-0.1,mad,0.5,2.0,5,fdfl_mu_addon,0.07533594596961798,0.0033305795223011908,30.250558178385376,2.1862328018492927,245.14154025682657,9.059332328984604
fdfl-0.1,mad,2.0,0.0,5,fdfl_mu_addon,0.12822444717422116,0.001685634660150326,26.41177508822514,0.8228493132685333,129.6923493494313,1.827406528752983
fdfl-0.1,mad,2.0,0.5,5,fdfl_mu_addon,0.12853636726103215,0.0016173724027643648,25.464297124273966,0.7534896776581872,128.39928077950614,1.8150168988631232
fdfl-0.1,mad,2.0,1.0,5,fdfl_mu_addon,0.12924891232310323,0.0014145758659526663,22.491893343900177,5.086379761540468,138.12365642652557,12.086711633706622
fdfl-0.1,mad,2.0,2.0,5,fdfl_mu_addon,0.12974969876893863,0.0014251632100757184,15.322189896842676,10.563223907589729,160.9145361468145,27.080460166295627
fdfl-0.1,wasserstein2_dp,0.5,0.0,5,makeup_2026_05_17,0.07545968187359399,0.001311414781915886,0.0001922138063800908,0.0001668382849657809,396.80878384821403,5.5622095382499115
fdfl-0.1,wasserstein2_dp,0.5,0.5,5,makeup_2026_05_17,0.07546064466421043,0.001305153491006294,0.00019041580450848447,0.00016393907027435173,396.80970591846994,5.560721555779989
fdfl-0.1,wasserstein2_dp,0.5,1.0,5,makeup_2026_05_17,0.07546174181476871,0.0012988631362091515,0.00018869135229685868,0.00016126341027687167,396.81071733636446,5.559260737356146
fdfl-0.1,wasserstein2_dp,0.5,2.0,5,makeup_2026_05_17,0.07546332805469284,0.0012867444104614322,0.00018559640600103195,0.00015633040811116968,396.8122800895847,5.556623153001132
fdfl-0.1,wasserstein2_dp,2.0,0.0,5,makeup_2026_05_17,0.12822472225354756,0.0016860430997907773,33.316801803431915,4.040982705502194,129.69100751485882,1.8269497336215468
fdfl-0.1,wasserstein2_dp,2.0,0.5,5,makeup_2026_05_17,0.1298658724526935,0.0017919997772719875,13.657015464691066,2.844185818638961,132.19871796204524,2.6932924951468595
fdfl-0.1,wasserstein2_dp,2.0,1.0,5,makeup_2026_05_17,0.13108521344419413,0.001901334344358337,9.343741967375536,2.0582442866794417,135.07723496064386,3.3123037288552393
fdfl-0.1,wasserstein2_dp,2.0,2.0,5,makeup_2026_05_17,0.13301346276669787,0.0018151961184444468,5.3114165246426746,1.6339720887439526,139.3088605262402,4.510366139798509
fdfl-0.5,atkinson,0.5,0.0,5,fdfl_mu_addon,0.07514728691228872,0.0012963511698235953,0.01526670494345952,0.0013864708063277094,396.40943398129167,5.571835150379755
fdfl-0.5,atkinson,0.5,0.5,5,fdfl_mu_addon,0.07514675562398772,0.0012964158752480591,0.01526668486851294,0.0013864697083258962,396.4093519191326,5.57188423537078
fdfl-0.5,atkinson,0.5,1.0,5,fdfl_mu_addon,0.07514622415945356,0.0012964808367806168,0.01526666479413278,0.0013864686020123816,396.40926969387823,5.571933195096122
fdfl-0.5,atkinson,0.5,2.0,5,fdfl_mu_addon,0.07514516352195938,0.0012966105193833982,0.015266624725378061,0.001386466429319302,396.40910620006,5.572031081105106
fdfl-0.5,atkinson,2.0,0.0,5,fdfl_mu_addon,0.1294287179173052,0.0019444919341143568,0.0071690380447159,0.0006390779344159048,121.31411473000746,1.123973589740346
fdfl-0.5,atkinson,2.0,0.5,5,fdfl_mu_addon,0.1294293204073477,0.0019445219235200957,0.007168570832769419,0.0006385902538662665,121.31375217692845,1.1233555025971935
fdfl-0.5,atkinson,2.0,1.0,5,fdfl_mu_addon,0.12942917952885274,0.0019445227895738858,0.00716841468135692,0.0006389472286880536,121.31383146568758,1.1238246781887613
fdfl-0.5,atkinson,2.0,2.0,5,fdfl_mu_addon,0.12942896868918702,0.001944046233038744,0.007167780378630339,0.0006389201209808315,121.31390127507333,1.1238449822864827
fdfl-0.5,bias_parity,0.5,0.0,5,fdfl_mu_addon,0.07514728691228872,0.0012963511698235953,2.524712002386135,0.06615662406550604,396.40943398129167,5.571835150379755
fdfl-0.5,bias_parity,0.5,0.5,5,fdfl_mu_addon,0.07506682535090156,0.0012993512821707729,2.5244347385347554,0.06615656234189102,396.3720623995581,5.576016480386508
fdfl-0.5,bias_parity,0.5,1.0,5,fdfl_mu_addon,0.07498611982766798,0.0013028835289292248,2.5241540844412733,0.06615609618701787,396.3341646228594,5.580396346243721
fdfl-0.5,bias_parity,0.5,2.0,5,fdfl_mu_addon,0.07482379435570964,0.0013116090931646993,2.5235817673145187,0.06615419906272106,396.25670393205127,5.589806994394309
fdfl-0.5,bias_parity,2.0,0.0,5,fdfl_mu_addon,0.1294287179173052,0.0019444919341143568,0.7300137890348841,0.09130143911535009,121.31411473000746,1.123973589740346
fdfl-0.5,bias_parity,2.0,0.5,5,fdfl_mu_addon,0.12939168897765296,0.0019428668741183943,0.7101528306413263,0.09179895720340951,121.35822033236207,1.1118798439660413
fdfl-0.5,bias_parity,2.0,1.0,5,fdfl_mu_addon,0.1293572326847262,0.0019389583022446327,0.6901259741721485,0.09149780525337893,121.40942435934954,1.0988734838636713
fdfl-0.5,bias_parity,2.0,2.0,5,fdfl_mu_addon,0.1292992493852057,0.0019358302727994605,0.6500239594334437,0.09221560794775437,121.52937791657952,1.0769813998987585
fdfl-0.5,dp,0.5,0.0,5,fdfl_mu_addon,0.07514728691228872,0.0012963511698235953,0.00311250764042664,0.0026753594891060577,396.40943398129167,5.571835150379755
fdfl-0.5,dp,0.5,0.5,5,fdfl_mu_addon,0.07515437593601278,0.0012323273007042168,0.0029447893605909,0.0025370981437175563,396.4149094859908,5.565508944038468
fdfl-0.5,dp,0.5,1.0,5,fdfl_mu_addon,0.0751622738354194,0.0011695190544215258,0.00278211019537224,0.0024025865490475634,396.4204843417434,5.559680397750718
