canon,imb,lambda,n,reg_m,reg_s,reg_med,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.8,0.0,5,0.6075255123863668,0.005848685992539745,0.6063872996029411,5.927600331336441,0.1357467061232183,0.8789254108645265,0.03605609887882173,1.930315617799988,5,Baseline (fair)
FPTO,0.8,0.5,5,0.6075143489549778,0.005843930962714283,0.6064001851867068,5.928687673802236,0.13567114533936508,0.8794113295319755,0.036063571488165205,2.0335858616000224,5,Baseline (fair)
FPTO,0.8,1.0,5,0.6075028150447742,0.005840048090565302,0.606411491542427,5.929769469076464,0.13559993563850894,0.8798942728049808,0.03607340553947723,1.1935944776000724,5,Baseline (fair)
PTO,0.8,0.0,5,0.6075255123863668,0.005848685992539745,0.6063872996029411,5.927600331336441,0.1357467061232183,0.8789254108645265,0.03605609887882173,3.200890198399975,5,Baseline (unfair)
DFL,0.8,0.0,4,0.5933486236768369,0.261633824715069,0.4672539359580432,24.03278623190367,22.511946788860584,3.008835040842894,2.720474317710596,501.18637725324993,5,Decision-focused
FDFL,0.8,0.0,4,0.5933486236768369,0.261633824715069,0.4672539359580432,24.03278623190367,22.511946788860584,3.008835040842894,2.720474317710596,507.11858323524973,5,Decision-focused + fair
FDFL,0.8,0.5,4,0.4431696629156416,0.04582757367262771,0.4444888374951127,37.917768740024144,43.47358351450977,4.050777865607223,3.454301681179465,238.4142567629999,5,Decision-focused + fair
FDFL,0.8,1.0,3,0.45173937065859365,0.07306194912988379,0.4319371378121053,45.76905770366081,56.03661031098332,3.4064734064500186,2.502082497464313,235.64890915833348,5,Decision-focused + fair
FDFL,0.8,2.0,2,0.4140800535795943,0.010975785687289854,0.4140800535795943,6.407746905572759,3.4814782698204696,1.4251681033899701,0.9985948503263106,203.73483122799962,5,Decision-focused + fair
MGDA,0.8,0.0,5,0.5646277715250122,0.08582574731458383,0.6002756281460467,5.360156342844489,0.5918677107607555,0.5871524422904324,0.29135327627905566,156.99178093560005,5,MOO
PCGrad,0.8,0.0,5,0.3394219561518958,0.014068588255843084,0.3385588527586902,2.651880283215982,0.10805043135661133,0.4286278804109941,0.07725358722289903,148.61407265579993,5,MOO
FPLG-kappa1,0.8,0.0,5,0.5502302379309014,0.021538850345891855,0.5416434737437773,5.545061965263937,0.2687197293654757,0.7791814515835449,0.07276690297956823,63.238442440000014,5,Prediction-anchor (with fair)
FPLG-kappa1,0.8,1.0,5,0.46186298513799356,0.03836301364375524,0.4467165426562778,4.821462068443337,0.5323947697223137,0.5720178256902329,0.17841064615863167,56.4828727168001,5,Prediction-anchor (with fair)
FDFL-Scal-mu0.1,0.8,0.0,5,0.550941595645712,0.021090962344785472,0.539977621572237,5.687438138596796,0.23493628607764164,0.8145448472678145,0.06220659800305,63.09768512779992,5,Scalarized
FDFL-Scal-mu0.1,0.8,0.5,5,0.5509362581293896,0.02110405845924617,0.5399846022415126,5.688585358402608,0.2348730331197782,0.8150689993144498,0.06224964961130978,69.62142504860005,5,Scalarized
FDFL-Scal-mu0.1,0.8,1.0,5,0.5509255858747146,0.02111585236949464,0.5399938258764785,5.689713389382394,0.23486355904549275,0.8155892829743955,0.062306832929811755,59.67198484600012,5,Scalarized
FDFL-Scal-mu0.1,0.8,2.0,5,0.5509094297955747,0.021139082578839088,0.5400263423517693,5.691946807017497,0.23477561320232676,0.8166196850479592,0.06241715376238674,60.209529007400214,5,Scalarized
FDFL-Scal-mu1,0.8,0.0,5,0.5520452682804968,0.021704935226241624,0.5513260801594373,4.944469189145283,0.4091962852715905,0.6071247112330324,0.1296823573614933,53.04528598520001,5,Scalarized
FDFL-Scal-mu1,0.8,0.5,5,0.5520477777556486,0.021706987140682196,0.551361359445745,4.945896207238095,0.40913716851056603,0.6080755294145056,0.1296231367059965,45.567475184999964,5,Scalarized
FDFL-Scal-mu1,0.8,1.0,5,0.5520481366116294,0.021710056341297707,0.551397892674765,4.947337614786034,0.40915440904058353,0.6090293901807742,0.12960011496650772,47.174128802799984,5,Scalarized
FDFL-Scal-mu1,0.8,2.0,5,0.5520574237109284,0.021716590831350698,0.5514834717743337,4.95007336758871,0.40905717392521596,0.610856131133876,0.12952652171013818,45.181951508400104,5,Scalarized
