canon,imb,lambda,n,reg_m,reg_s,reg_med,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.4,0.0,5,0.5639722405249741,0.006262814700302654,0.5625073628327097,5.430938872303116,0.13007514972239842,0.3952967695062129,0.023809931323415287,1.3223825541999303,5,Baseline (fair)
FPTO,0.4,0.5,5,0.5639345804458568,0.00625239035873274,0.5624857369018106,5.430357972111611,0.13029480288271997,0.3953321388622996,0.02388138378289576,1.9147855796000386,5,Baseline (fair)
FPTO,0.4,1.0,5,0.5638966523765041,0.006242873973934824,0.5624625911987039,5.429772599077779,0.13051886621538664,0.3953665812331443,0.023954219468547235,0.8361166862000118,5,Baseline (fair)
PTO,0.4,0.0,5,0.5639722405249741,0.006262814700302654,0.5625073628327097,5.430938872303116,0.13007514972239842,0.3952967695062129,0.023809931323415287,2.792619789799983,5,Baseline (unfair)
DFL,0.4,0.0,5,0.3645923530331592,0.07399623627697609,0.3831209435649085,18.785789407637235,16.827465030317263,2.790033052193752,1.846469439691149,232.87254332819998,5,Decision-focused
FDFL,0.4,0.0,5,0.3645923530331592,0.07399623627697609,0.3831209435649085,18.785789407637235,16.827465030317263,2.790033052193752,1.846469439691149,224.45418324180005,5,Decision-focused + fair
FDFL,0.4,0.5,5,0.35867037433453425,0.06857164258749254,0.3892425192788757,15.652981843616203,13.804765611134139,2.0472149866352076,0.9747800472832507,188.52952858740005,5,Decision-focused + fair
FDFL,0.4,1.0,5,0.32015196432287113,0.039151946117477195,0.3205980711760118,14.061079613670538,8.640972993490676,2.0859946737134676,0.6887924577712765,235.8372414243998,5,Decision-focused + fair
FDFL,0.4,2.0,5,0.32469046379866234,0.04643786987851457,0.3211015927639234,12.603392221659693,8.271761889739533,1.9736010066320602,0.693915166401594,243.77588585659987,5,Decision-focused + fair
MGDA,0.4,0.0,4,0.35915062390244124,0.007926682736451064,0.35777540604767377,4.53760445316657,0.43086151412154033,0.23290760573842637,0.1055002258528548,315.56086387774997,5,MOO
PCGrad,0.4,0.0,5,0.24751336108278976,0.006280214105393547,0.2461111936171117,1.7207498594690864,0.0798395985572337,0.24476778510493577,0.05085431766899878,91.97865516160005,5,MOO
FPLG-kappa1,0.4,0.0,5,0.4965064683778654,0.023311378903338405,0.4879420576953914,5.011156588886214,0.28338414981484694,0.3282733649858886,0.056919868684228214,34.68512388560002,5,Prediction-anchor (with fair)
FPLG-kappa1,0.4,1.0,5,0.40273382534876917,0.033963677648101535,0.3990052297996645,4.163729092902619,0.5506424678416052,0.20681439131191803,0.09993536208077408,44.7775970358,5,Prediction-anchor (with fair)
FDFL-Scal-mu0.1,0.4,0.0,5,0.49718263572830484,0.02285618425219581,0.4860973839295719,5.153032341484817,0.2491847232050708,0.3468496147870578,0.049926885634468614,36.12527191180006,5,Scalarized
FDFL-Scal-mu0.1,0.4,0.5,5,0.49713451529558006,0.0228844147098613,0.4860615205882151,5.151980587104808,0.24985409338429962,0.34681762050617226,0.05012878513698884,32.958644856199996,5,Scalarized
FDFL-Scal-mu0.1,0.4,1.0,5,0.4970802044839246,0.022915461459664707,0.4860315375888501,5.150906812030578,0.2504936364021735,0.3467906236172187,0.05032415170355914,31.903828138400012,5,Scalarized
FDFL-Scal-mu0.1,0.4,2.0,5,0.49697717582311174,0.02297075563698467,0.4859642012247757,5.148756774259282,0.2518661273118388,0.3467290347169131,0.05073017804095528,31.08889197979993,5,Scalarized
FDFL-Scal-mu1,0.4,0.0,5,0.4990555522561812,0.023322065416977344,0.4997416182771136,4.430008256928592,0.41228128948253234,0.24034320124474823,0.08714449417958664,31.15462065199995,5,Scalarized
FDFL-Scal-mu1,0.4,0.5,5,0.4990033307051167,0.023344494521958616,0.4997251138078259,4.428238760436964,0.4131035014272947,0.24025039111965335,0.08742516532565953,30.270428158999994,5,Scalarized
FDFL-Scal-mu1,0.4,1.0,5,0.49895586525947555,0.0233661073996759,0.4997245770504983,4.426448334128053,0.4139166366896128,0.24014568498248265,0.08771996349579483,26.870026636399963,5,Scalarized
FDFL-Scal-mu1,0.4,2.0,5,0.49886569279448256,0.02341276943153524,0.4997182377816207,4.422855903671776,0.41554604124478123,0.23996866111915643,0.08831224761161488,28.10287084519996,5,Scalarized
