canon,imb,lambda,n,reg_m,reg_s,reg_med,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.6,0.0,5,0.5831070527608094,0.006111209312443378,0.5819700557988322,5.655424032220549,0.1325733407374256,0.6439577342466045,0.029590908824693844,1.499007580200032,5,Baseline (fair)
FPTO,0.6,0.5,5,0.5830825510266637,0.006104314224154823,0.581963432562399,5.655665969281121,0.13264660273204645,0.644156698568458,0.029646434526791814,1.7122990242000014,5,Baseline (fair)
FPTO,0.6,1.0,5,0.5830578154951016,0.0060982870998706785,0.5819554394495731,5.655903564526184,0.1327240882985645,0.6443540377227314,0.02970384384766844,1.4778983465998863,5,Baseline (fair)
PTO,0.6,0.0,5,0.5831070527608094,0.006111209312443378,0.5819700557988322,5.655424032220549,0.1325733407374256,0.6439577342466045,0.029590908824693844,2.9454981906000284,5,Baseline (unfair)
DFL,0.6,0.0,4,0.6419256190834867,0.49499887926246333,0.42619875757429737,18.83937824666151,13.986109211230637,2.580019879996857,0.9508553588228879,509.6144907812503,5,Decision-focused
FDFL,0.6,0.0,4,0.6419256190834867,0.49499887926246333,0.42619875757429737,18.83937824666151,13.986109211230637,2.580019879996857,0.9508553588228879,500.0460160350001,5,Decision-focused + fair
FDFL,0.6,0.5,4,0.4300401426353915,0.12039901384024221,0.39780745427508823,12.289537193902945,5.009613673547987,2.0459273545860226,1.2374004882579388,217.76193705849983,5,Decision-focused + fair
FDFL,0.6,1.0,5,0.3690511063473831,0.05369013322048065,0.3461936089127549,15.011669392092319,14.436339308219475,2.487028446265728,1.3268724633270559,229.24756877719992,5,Decision-focused + fair
FDFL,0.6,2.0,5,0.3898829370343505,0.04639937751237743,0.4038901490283932,16.892521870622325,8.89287773925603,2.42036952489714,0.9331778908957563,275.1710882607998,5,Decision-focused + fair
MGDA,0.6,0.0,4,0.43996133941059434,0.09757770317154507,0.3944228367646762,5.029103012284645,0.6079625564091975,0.5050486951500435,0.15791664756413887,169.0204302914999,5,MOO
PCGrad,0.6,0.0,5,0.2885455553605459,0.010186889653341611,0.2893764760371667,2.1548017277910003,0.07224217515139236,0.35893040022856504,0.06012179899804531,121.57282623599986,5,MOO
FPLG-kappa1,0.6,0.0,5,0.5208642339471334,0.022447325790718113,0.512691010775203,5.252687115724778,0.27771337637685095,0.5578277068936759,0.06619217404243975,51.595057892600195,5,Prediction-anchor (with fair)
FPLG-kappa1,0.6,1.0,5,0.43030063358987675,0.035853842510236225,0.4216496520937369,4.465934639608204,0.5440704830879396,0.37746694974258205,0.1618335300309196,55.433628615800174,5,Prediction-anchor (with fair)
FDFL-Scal-mu0.1,0.6,0.0,5,0.5215605608174493,0.022017173641432956,0.5110064771191917,5.395679636865594,0.2432223020552371,0.5855136528942764,0.057146449579612735,55.25159472600008,5,Scalarized
FDFL-Scal-mu0.1,0.6,0.5,5,0.5215343550814237,0.022041568710921867,0.5109941309880488,5.395722956905371,0.24351491403126627,0.5856826536914037,0.05729557074090313,46.877226999400044,5,Scalarized
FDFL-Scal-mu0.1,0.6,1.0,5,0.5215060364136292,0.022060009721189162,0.510974251566142,5.395769764364277,0.2438285339984465,0.585857094619284,0.057451125091822576,47.87009195099999,5,Scalarized
FDFL-Scal-mu0.1,0.6,2.0,5,0.5214461056563916,0.022102344662955686,0.5109411733101891,5.395829647633549,0.24446550062654201,0.5861991255962167,0.05776080421382194,44.2163658038,5,Scalarized
FDFL-Scal-mu1,0.6,0.0,5,0.5230265466145402,0.022461249015905835,0.5234610053756653,4.6597334044882235,0.41208348193532407,0.4249602815318159,0.11037435177938516,46.32836425759997,5,Scalarized
FDFL-Scal-mu1,0.6,0.5,5,0.5230054395893405,0.022470352715063056,0.5234664285742225,4.659526982680859,0.41243778225485234,0.42524105829742276,0.11054361860457834,44.25606104339986,5,Scalarized
FDFL-Scal-mu1,0.6,1.0,5,0.5229817429216365,0.022486290012249898,0.5234789066024936,4.659326956056378,0.41285832869077893,0.42551522148394294,0.11073733752426396,44.4092094919999,5,Scalarized
FDFL-Scal-mu1,0.6,2.0,5,0.5229341679060706,0.022516311136045488,0.5234955357782887,4.658842833936549,0.4137473442596245,0.4260388019805522,0.1111552486400872,43.32087268979994,5,Scalarized
