canon,imb,lambda,n,reg_m,reg_s,reg_med,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.2,0.0,5,0.5491046401857748,0.006364279480380363,0.5475885867331902,5.256508117344038,0.12829469650795958,0.12906594349175685,0.019576469668786643,1.4194397438000066,5,Baseline (fair)
FPTO,0.2,0.5,5,0.5490514969365432,0.006351218633691256,0.5475514661069799,5.255107651790097,0.12866154499232757,0.12907274249169878,0.019633715029492307,1.6235534139999914,5,Baseline (fair)
FPTO,0.2,1.0,5,0.5489980805050496,0.006339208349869503,0.5475124296448436,5.25370083289692,0.12903415542612878,0.12907878125684974,0.019692604699046667,1.3623465557999794,5,Baseline (fair)
PTO,0.2,0.0,5,0.5491046401857748,0.006364279480380363,0.5475885867331902,5.256508117344038,0.12829469650795958,0.12906594349175685,0.019576469668786643,2.071493698000012,5,Baseline (unfair)
DFL,0.2,0.0,5,0.30722158140746975,0.05346147545188917,0.3027005179056016,8.585475068271705,5.790667061336396,1.0919284539402656,0.23742523373553695,197.4737176362,5,Decision-focused
FDFL,0.2,0.0,5,0.30722158140746975,0.05346147545188917,0.3027005179056016,8.585475068271705,5.790667061336396,1.0919284539402656,0.23742523373553695,195.2900051032,5,Decision-focused + fair
FDFL,0.2,0.5,5,0.3559170311652079,0.11395168440291935,0.3027633829443716,30.300519488507366,49.621364526206776,2.0544579203799502,1.2874408813526197,196.05836774699995,5,Decision-focused + fair
FDFL,0.2,1.0,5,0.3336257237749294,0.09668105511309183,0.3348076352209498,10.618075298645076,6.757183869763085,1.0800192332114789,0.299088737602659,191.62911597319993,5,Decision-focused + fair
FDFL,0.2,2.0,5,0.3070773940613875,0.07768434462599651,0.2815280665414217,10.056425427119716,3.546397946284955,1.4850987317022004,0.8906485112476865,192.09399259140002,5,Decision-focused + fair
MGDA,0.2,0.0,5,0.4063401315750907,0.10821816970716869,0.3415604489547809,4.383018788472676,0.40444289659689886,0.05180796682357404,0.038709673511591595,332.36600496500006,5,MOO
PCGrad,0.2,0.0,5,0.21659392854457388,0.00703549774189357,0.2134495610189036,1.4267331196888107,0.06681216709533112,0.13156807912214624,0.030403649684365288,84.9633552686,5,MOO
FPLG-kappa1,0.2,0.0,5,0.47715105881122355,0.024109683769060527,0.4681650635962208,4.82709632727911,0.2860291048251326,0.08569845032963888,0.04566214025236238,26.402744302599977,5,Prediction-anchor (with fair)
FPLG-kappa1,0.2,1.0,5,0.37955294805974915,0.03359426654825002,0.3791995948837994,3.9381751431827743,0.5575036236741249,0.07076283764467317,0.07296284082713156,39.42683665739999,5,Prediction-anchor (with fair)
FDFL-Scal-mu0.1,0.2,0.0,5,0.4777708332823984,0.02368894018641085,0.4661240456709303,4.967280023185436,0.2526518143443591,0.0942287832210542,0.04086360623558534,26.34185606119999,5,Scalarized
FDFL-Scal-mu0.1,0.2,0.5,5,0.4776921839513536,0.023726803923933004,0.4660707687532727,4.965080560689001,0.2536550842990144,0.09417016571069706,0.04105543546722591,23.97077790899998,5,Scalarized
FDFL-Scal-mu0.1,0.2,1.0,5,0.4776153413447676,0.023761373648872836,0.4660153159133558,4.962876046696037,0.2546657563646646,0.09410796752314404,0.04125798087428573,22.493686849000028,5,Scalarized
FDFL-Scal-mu0.1,0.2,2.0,5,0.4774596656374127,0.02383609696480575,0.4659075480283914,4.958377946810763,0.2567487510555635,0.09399221001502847,0.04166053135824421,23.732750957799965,5,Scalarized
FDFL-Scal-mu1,0.2,0.0,5,0.48010231135889797,0.02407720920459797,0.4810340879909769,4.258315120233638,0.41085279720119816,0.06928728361463135,0.025349482894999983,23.319707069800028,5,Scalarized
FDFL-Scal-mu1,0.2,0.5,5,0.48001932638848704,0.024110675917298804,0.4809862556112207,4.254909520168985,0.4120673066991249,0.06940567319945566,0.025386048703113145,21.395171064199975,5,Scalarized
FDFL-Scal-mu1,0.2,1.0,5,0.4799418562433737,0.02414153627968223,0.4809533181508867,4.251579524550711,0.413295953284208,0.06951830884586759,0.025402448816195404,20.863615553600017,5,Scalarized
FDFL-Scal-mu1,0.2,2.0,5,0.47978658644410926,0.024200805166794383,0.4808851472921661,4.244808406696532,0.4157192122446353,0.06973574437056909,0.02543628284272343,21.479600924199985,5,Scalarized
