canon,imb,lambda,n,reg_m,reg_s,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.0,0.0,5,0.5283278793444222,0.010617512727865529,6.969434999331599,0.11117563427821191,2.2485205789984204,0.028370808292566406,9.436987528600003,5,Baseline (fair LP/SOCP)
FPTO,0.0,0.5,5,0.5283307555682002,0.010568679753040017,6.969500361595214,0.11119748947610424,2.2488053646031716,0.028411263897419225,8.804767802000015,5,Baseline (fair LP/SOCP)
FPTO,0.0,1.0,5,0.5283337504490221,0.010520763025286959,6.969557830704249,0.11122612666920761,2.2490857057961073,0.028453902384356824,7.946910039,5,Baseline (fair LP/SOCP)
FPTO,0.0,2.0,5,0.5283417961358129,0.01042907873941373,6.969652661210345,0.1113011117051953,2.2496287699441,0.028552728255192884,7.777207669999916,5,Baseline (fair LP/SOCP)
FPTO,0.0,5.0,5,0.5283740870520746,0.010159021877920664,6.969783980712229,0.1116350911973543,2.251228095543393,0.028893826455713124,6.867060294800285,5,Baseline (fair LP/SOCP)
PTO,0.0,0.0,5,0.5283278793444222,0.010617512727865529,6.969434999331599,0.11117563427821191,2.2485205789984204,0.028370808292566406,0.2189696667999669,5,Baseline (unfair)
SAA,0.0,0.0,5,0.5315793170933437,0.0,6.140067639206788,0.0,1.977104737652736,0.0,4.1293400499853306e-05,5,Baseline (unfair)
WDRO,0.0,0.0,5,0.5283122464592267,0.010560351203055832,6.968912628028721,0.11072418390230811,2.248488446587666,0.028198713320068704,0.2941788389999601,5,Baseline (unfair)
DFL,0.0,0.0,5,0.270597746796762,0.06541314079734187,14.106224358051048,5.924637615610484,1.2487243211546937,0.7436857960421496,148.3699232886001,5,Decision-focused
PLG-kappa1,0.0,0.0,5,0.4569393163841332,0.02241263732832049,6.58240739565926,0.13359448677859775,2.1645591458767095,0.04232486669727994,16.254013962599856,5,"Decision-focused (sched, no fair)"
FDFL,0.0,0.0,5,0.270597746796762,0.06541314079734187,14.106224358051048,5.924637615610484,1.2487243211546937,0.7436857960421496,141.26366339680004,5,Decision-focused + fair
FDFL,0.0,0.5,5,0.3020515516640652,0.08804542983900716,29.225542065231316,19.612267800628306,1.0891076385750933,1.2429606091873422,161.85520553420014,5,Decision-focused + fair
FDFL,0.0,1.0,4,0.2712217754237004,0.06322300695001207,14.376454154113508,3.2695901195967476,1.1291461927805222,0.39719560345206756,151.1990908537499,5,Decision-focused + fair
FDFL,0.0,2.0,5,0.27555861785111124,0.08201886586412098,12.711283078725858,10.762206787869298,1.216743971020647,0.8796051092583806,184.93538741620014,5,Decision-focused + fair
FDFL,0.0,5.0,5,0.25247966782837483,0.050291899466694955,18.996048664969727,21.882394551404076,2.212224183655702,2.5423329818240394,185.69369989280003,5,Decision-focused + fair
CAGrad,0.0,0.0,5,0.39944732906008584,0.09470584829902903,9.180627015899407,5.365522821855318,1.6583650293674737,0.7797223192975534,174.5535653933999,5,MOO
MGDA,0.0,0.0,5,0.3463791277724289,0.015661653281274713,6.340898268478971,0.1953809769737067,2.100226433621571,0.030227171262566292,147.59686214279998,5,MOO
NashMTL,0.0,0.0,5,0.2861094396521914,0.012082304426617892,2.247323946782206,0.07264180413924812,1.0188535583464842,0.07409202074473754,52.06524040580016,5,MOO
PCGrad,0.0,0.0,5,0.200476857645865,0.011925123054194528,1.371033938952811,0.17363009938667928,0.496887160950532,0.025864767013433702,76.13254340979992,5,MOO
FPLG-kappa1,0.0,0.0,5,0.4569393163841332,0.02241263732832049,6.58240739565926,0.13359448677859775,2.1645591458767095,0.04232486669727994,29.83275320019993,5,Prediction-anchor (with fair)
FPLG-kappa1,0.0,0.5,5,0.37608214376757426,0.007848970748633728,5.680641241970187,0.2321518619919002,1.9426104918405904,0.09825068985594786,40.25118625799996,5,Prediction-anchor (with fair)
FPLG-kappa1,0.0,1.0,5,0.3495437762980615,0.011742656401748349,4.627004233726338,0.25642651332278493,1.733653401682527,0.14121586369292932,72.21234916500006,5,Prediction-anchor (with fair)
FDFL-Scal-mu0.01,0.0,0.0,5,0.4568460931638777,0.023599162364010124,6.823888203157674,0.09755853993162486,2.2175380947320056,0.027577966407597687,34.68459726720012,5,Scalarized
FDFL-Scal-mu0.01,0.0,1.0,5,0.4568380151184678,0.023665774616756972,6.824101924093431,0.09785067028843757,2.2182723666198085,0.028110719090177927,33.94728345340009,5,Scalarized
FDFL-Scal-mu0.01,0.0,5.0,5,0.45678000448647227,0.023937649626239402,6.8242852109957015,0.0996153838161734,2.2210039973319815,0.0303691535758124,34.178416953399754,5,Scalarized
FDFL-Scal-mu0.1,0.0,0.0,5,0.45670055526382625,0.02310837372284961,6.711981021439319,0.1137720782106756,2.193085081119713,0.034382259052781805,32.077267050600014,5,Scalarized
FDFL-Scal-mu0.1,0.0,1.0,5,0.4566875940115698,0.023171658194501406,6.711919275563568,0.1141625267977281,2.193829003466908,0.034994915092979445,31.682607452399974,5,Scalarized
FDFL-Scal-mu0.1,0.0,2.0,5,0.45667079168466956,0.023231187712764393,6.7117745352980815,0.11458684583391218,2.1945536943860424,0.03561386398527576,40.96390019199953,5,Scalarized
FDFL-Scal-mu0.1,0.0,5.0,5,0.4566027790859466,0.023435278747390594,6.710824451307852,0.11626206780337969,2.1966425010938284,0.0376041631634542,35.26871884239972,5,Scalarized
FDFL-Scal-mu0.5,0.0,0.0,5,0.457720524877021,0.021144913837767364,6.334045078500564,0.18074695521702316,2.1061349628114026,0.0638423839932578,33.20304784180007,5,Scalarized
FDFL-Scal-mu0.5,0.0,1.0,5,0.45766133988868696,0.021221277278229925,6.332412267818631,0.18146450448159837,2.1068099886467735,0.06470540057608305,32.44446300199961,5,Scalarized
FDFL-Scal-mu0.5,0.0,5.0,5,0.4573447634187682,0.021499631659429606,6.324102501946829,0.18496810752922757,2.1091019582180346,0.06830354161138667,32.52209898279998,5,Scalarized
FDFL-Scal-mu1,0.0,0.0,5,0.46122675680160646,0.019227357929261533,6.07241768482928,0.22418053747804642,2.0411908934618275,0.08530523991520864,30.710131211600036,5,Scalarized
FDFL-Scal-mu1,0.0,1.0,5,0.4611096140650835,0.01929879162671546,6.068805824804786,0.22518489524278038,2.0416944175758025,0.0862109161982967,30.51347777300007,5,Scalarized
FDFL-Scal-mu1,0.0,2.0,5,0.460987058003242,0.019371131880181486,6.065005581456761,0.22629034990656546,2.0421380199356687,0.08713739015798769,32.93798298200036,5,Scalarized
FDFL-Scal-mu1,0.0,5.0,5,0.46057461677924494,0.01959537060664865,6.052575391611575,0.229929957630328,2.043338824707135,0.09007259390428364,32.15071120459997,5,Scalarized
FDFL-Scal-mu2,0.0,0.0,5,0.4679991715410563,0.016773759696844238,5.868261428313437,0.2472676435253566,1.986518577813537,0.10015367980283903,32.725691976000235,5,Scalarized
FDFL-Scal-mu2,0.0,1.0,5,0.46783797765391844,0.016829810323530314,5.862862541005424,0.24854374989423406,1.9868302004272622,0.10115236252213074,31.488804292200076,5,Scalarized
FDFL-Scal-mu2,0.0,5.0,5,0.4670939890566065,0.01709368663527858,5.8387232213047495,0.254850207752188,1.9875178486594198,0.10559908766064037,31.57687164099989,5,Scalarized
