canon,imb,lambda,n,reg_m,reg_s,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.8,0.0,5,0.6173715337220737,0.012065961234620129,7.709819149704165,0.127489390821042,1.448625284526682,0.024522805340631334,9.578604447600014,5,Baseline (fair LP/SOCP)
FPTO,0.8,0.5,5,0.6173788493154054,0.012138416053417424,7.705834306077156,0.1281743976409908,1.448712650513419,0.02463357685261057,8.921168686600003,5,Baseline (fair LP/SOCP)
FPTO,0.8,1.0,5,0.6173880060532847,0.012210225736919173,7.701831776705585,0.12887896719952735,1.448799916096736,0.0247448985418965,8.199762938200024,5,Baseline (fair LP/SOCP)
FPTO,0.8,2.0,5,0.6174120159384827,0.012359979282874592,7.69378011382023,0.13035640154607792,1.448984039272024,0.024987509520711604,7.573953344999973,5,Baseline (fair LP/SOCP)
FPTO,0.8,5.0,5,0.6174985089707794,0.012842539749910757,7.669085602739443,0.13526453473326136,1.4496045732840641,0.02580520432512488,7.457229624400315,5,Baseline (fair LP/SOCP)
PTO,0.8,0.0,5,0.6173715337220737,0.012065961234620129,7.709819149704165,0.127489390821042,1.448625284526682,0.024522805340631334,12.424480827000025,5,Baseline (unfair)
SAA,0.8,0.0,5,0.6180920684714584,0.0,6.601545967485156,0.0,1.58470627293958,0.0,3.345820005051792e-05,5,Baseline (unfair)
WDRO,0.8,0.0,5,0.617341547024046,0.01198423675145286,7.709226158963183,0.12695943882864782,1.448693531542823,0.024355638458037246,0.2986952046001533,5,Baseline (unfair)
DFL,0.8,0.0,3,0.42975049074753896,0.07511001330903047,36.248153627334126,15.326507865853255,5.457238248285552,2.321670792428626,245.3761733433333,5,Decision-focused
PLG-kappa1,0.8,0.0,5,0.5646585038521759,0.019315690044626507,7.375643919679265,0.15481313979923,1.4487605600052667,0.04019892279491787,26.556139143199836,5,"Decision-focused (sched, no fair)"
FDFL,0.8,0.0,3,0.42975049074753896,0.07511001330903047,36.248153627334126,15.326507865853255,5.457238248285552,2.321670792428626,152.9856750660001,5,Decision-focused + fair
FDFL,0.8,0.5,3,0.43400295655201543,0.10502411039328316,50.85600935989189,44.5628940881503,5.334890818972721,2.825434340578189,169.6863837393333,5,Decision-focused + fair
FDFL,0.8,1.0,2,0.3797329596041379,0.0329412103829075,21.510198822285886,26.197697738331044,4.383365372038019,4.259549433504642,121.52898663450014,5,Decision-focused + fair
FDFL,0.8,2.0,2,0.38645006904364904,0.01521530280664933,34.56308299906223,3.9013585852247004,6.621135232344118,0.5489739624730579,141.09978869849965,5,Decision-focused + fair
FDFL,0.8,5.0,1,0.3960926072675704,,39.600580808046686,,7.714501542208549,,141.8887143409993,5,Decision-focused + fair
CAGrad,0.8,0.0,4,0.4583487860708864,0.10054396419519669,19.151508403616276,28.659488798881117,2.1270827238941346,1.987402254441184,145.24902210250002,5,MOO
MGDA,0.8,0.0,5,0.6037236288774828,0.02479681106450477,7.718029156195863,0.1287119803322724,1.44904107648651,0.02439132674485872,28.714330452200056,5,MOO
NashMTL,0.8,0.0,5,0.4031407950111362,0.014613879838689428,3.543481710590144,0.0856647258423032,1.351190120815267,0.14089162599746485,86.33035926540006,5,MOO
