canon,imb,lambda,n,reg_m,reg_s,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.4,0.0,5,0.5549232765291284,0.010575250283804896,7.253612323811042,0.11855611982147338,1.8174241449688338,0.02553417641683655,9.396438551599976,5,Baseline (fair LP/SOCP)
FPTO,0.4,0.5,5,0.5549256559603654,0.010635491621494995,7.251651161184211,0.11887816160127572,1.8171276021687592,0.02555425846006686,9.040906667399986,5,Baseline (fair LP/SOCP)
FPTO,0.4,1.0,5,0.554927795394659,0.01069631471653154,7.249680302636148,0.11921246552601979,1.8168291641444554,0.02557637820086486,8.213519974400015,5,Baseline (fair LP/SOCP)
FPTO,0.4,2.0,5,0.5549368549227304,0.010821548790872186,7.2457334625567285,0.11990288547544563,1.8162328277674427,0.02561656219760432,7.445736313599991,5,Baseline (fair LP/SOCP)
FPTO,0.4,5.0,5,0.5549680529713226,0.011221025940331189,7.233619921613906,0.12219761303448826,1.8143993986941436,0.025817445820354796,7.482072691800022,5,Baseline (fair LP/SOCP)
PTO,0.4,0.0,5,0.5549232765291284,0.010575250283804896,7.253612323811042,0.11855611982147338,1.8174241449688338,0.02553417641683655,11.839829167000016,5,Baseline (unfair)
SAA,0.4,0.0,5,0.5567250625651704,0.0,6.316041326363805,0.0,1.7486487901442083,0.0,3.447760027484037e-05,5,Baseline (unfair)
WDRO,0.4,0.0,5,0.5548985858955533,0.010511101380351863,7.253056627877986,0.11806957328528142,1.8174440130337903,0.025362155279481963,0.2989414226000917,5,Baseline (unfair)
DFL,0.4,0.0,4,0.30841955127468135,0.010982850113763503,14.310026474607934,4.634734897820167,2.182583163743883,0.2987008400096587,168.8429773790001,5,Decision-focused
PLG-kappa1,0.4,0.0,5,0.49337926814980726,0.019535660183543767,6.8839701197779535,0.1406251420402059,1.78110836777831,0.03952199678719936,15.824539944599746,5,"Decision-focused (sched, no fair)"
FDFL,0.4,0.0,4,0.30841955127468135,0.010982850113763503,14.310026474607934,4.634734897820167,2.182583163743883,0.2987008400096587,107.17441049274996,5,Decision-focused + fair
FDFL,0.4,0.5,4,0.32214703451605425,0.027928410448923448,20.553385615283567,9.761760648994773,2.5885271068895372,1.5956144592063757,119.32107351450014,5,Decision-focused + fair
FDFL,0.4,1.0,4,0.3583490257174828,0.06456388137181417,22.05609767122814,14.001204988242952,2.197884254204215,0.4541953433653819,136.81598661425016,5,Decision-focused + fair
FDFL,0.4,2.0,5,0.3147107744695649,0.06270760153789495,8.735936707887463,2.522351692666788,1.9088054066054128,0.3929161504998692,192.02404082999982,5,Decision-focused + fair
FDFL,0.4,5.0,4,0.3032035140160454,0.013843278377468706,17.21996736644268,11.010345648598,2.8069957356276896,1.3529670791035195,138.17116337975017,5,Decision-focused + fair
CAGrad,0.4,0.0,5,0.36822572108638624,0.020600507980534807,9.302268000400563,8.068466632173726,1.6738427565292142,1.39831724338098,168.91389845459997,5,MOO
MGDA,0.4,0.0,5,0.3877200111658087,0.015524840344351825,6.739854645818603,0.1791703700799495,1.7707044115065789,0.03534964243296197,53.369129043000065,5,MOO
NashMTL,0.4,0.0,5,0.3343950154827266,0.01251116878854237,2.7673337844760026,0.08920969376398508,1.2267444471255584,0.09106253968565967,49.72981949699997,5,MOO
PCGrad,0.4,0.0,5,0.2629689599496342,0.013145820879885674,1.8657575098038435,0.05445300993035406,0.8202462692810494,0.030662416387925835,60.7795164614,5,MOO
