canon,imb,lambda,n,reg_m,reg_s,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FDFL,0.6,0.5,5,0.3628789312148892,0.03871449141495752,17.333612645968923,8.627515977386977,3.2251272118041365,1.347154222248836,251.4458156667998,5,Decision-focused + fair
FDFL,0.6,1.0,4,0.36070899335510825,0.013348991530095814,14.61059512214373,11.610537340694908,3.086878320560773,1.7022985115411349,123.83511356999998,5,Decision-focused + fair
FDFL,0.6,2.0,3,0.3642458775495308,0.022240621637583974,11.658843538951919,7.153796162394761,2.582024804991946,0.9305647274577491,145.33501947866716,5,Decision-focused + fair
FDFL,0.6,5.0,4,0.3781712498494012,0.09825955239682273,7.290811960684491,4.055666300259018,2.020536981674288,0.8714323391678199,280.5371295740001,5,Decision-focused + fair
CAGrad,0.6,0.0,4,0.46798478804225346,0.06600912408636002,28.412374210684767,41.32270992555567,3.488694262108825,3.3407631230136143,163.11605520224953,5,MOO
MGDA,0.6,0.0,5,0.4247784424679194,0.00848602872413625,7.041539466583598,0.14062981563609298,1.612793453034557,0.05134320191479546,39.323925006199985,5,MOO
NashMTL,0.6,0.0,5,0.3701660306814204,0.014259392140441736,3.124789027057253,0.08234834716349382,1.314902106324742,0.10858476830618419,74.95114353540002,5,MOO
PCGrad,0.6,0.0,5,0.2911791222763759,0.01313819849746241,2.2189251123459517,0.05691022208704576,0.9559210415775358,0.03782193633635265,90.8935434938001,5,MOO
FPLG-kappa1,0.6,0.0,5,0.5254996026437555,0.018834225521187624,7.108525310312507,0.14683157166293676,1.6111941986891374,0.03964480134560539,34.31506983920008,5,Prediction-anchor (with fair)
FPLG-kappa1,0.6,0.5,5,0.45209996019683657,0.015444169169813492,6.35973666587296,0.23416287000963776,1.5524157658186966,0.10208723915146073,38.379575056400064,5,Prediction-anchor (with fair)
FPLG-kappa1,0.6,1.0,5,0.4168780691440782,0.00822797129592763,5.356703778851676,0.31491783699067183,1.5005828265046106,0.1651340135983785,56.704595061600045,5,Prediction-anchor (with fair)
FDFL-Scal-mu0.01,0.6,0.0,5,0.5245565518586418,0.020147670997762584,7.359672623145414,0.11164547696244172,1.6267054126051472,0.031181865390762776,47.36780683199995,5,Scalarized
FDFL-Scal-mu0.01,0.6,1.0,5,0.5245612946711864,0.020097747425801157,7.352357501062788,0.11281981867306562,1.6264745151782016,0.03120386109136052,49.42165599,5,Scalarized
FDFL-Scal-mu0.01,0.6,5.0,5,0.5245460263190168,0.019951901446329325,7.321761493815865,0.11841922527064973,1.6255752444704654,0.03136634693802893,45.14577590720019,5,Scalarized
FDFL-Scal-mu0.1,0.6,0.0,5,0.5248975976432362,0.019541016102180227,7.244538493161447,0.12634015579637614,1.619632332491318,0.034957471273729314,42.91146176820003,5,Scalarized
FDFL-Scal-mu0.1,0.6,1.0,5,0.5248911611783363,0.019507323371671822,7.237257621671413,0.12777905175973595,1.6193907146891562,0.034933915003621245,42.88827676259998,5,Scalarized
FDFL-Scal-mu0.1,0.6,2.0,5,0.5248877882074813,0.019473584916982787,7.229730962758761,0.12925863213499958,1.6191391123046412,0.03489157251907998,46.50174141620009,5,Scalarized
FDFL-Scal-mu0.1,0.6,5.0,5,0.5248345671479195,0.019398465377804947,7.206562889202649,0.13429282808800805,1.618425324763797,0.0348217237254544,44.42831279180009,5,Scalarized
FDFL-Scal-mu0.5,0.6,0.0,5,0.5266821177750103,0.017466888706535857,6.8472684476365036,0.1933598653599709,1.5918078484952964,0.0537426640091658,46.11151246720019,5,Scalarized
FDFL-Scal-mu0.5,0.6,1.0,5,0.5267001768244981,0.01746916523589979,6.841427025435108,0.19374613823846965,1.591568916108281,0.05346667077883866,44.63495614980002,5,Scalarized
FDFL-Scal-mu0.5,0.6,5.0,5,0.5267553543009548,0.017483872842252588,6.819185939581674,0.19249053726842613,1.5905682197453839,0.052477304344247924,43.67935940900024,5,Scalarized
FDFL-Scal-mu1,0.6,0.0,5,0.5297362063247031,0.015689988229860286,6.560961283546324,0.23886886294047915,1.567189830296621,0.06838039073220278,41.809990857400045,5,Scalarized
FDFL-Scal-mu1,0.6,1.0,5,0.5297920587240545,0.015682797818067962,6.557169998833831,0.23796576528325494,1.5669248114306709,0.06803141119712049,40.50253297480003,5,Scalarized
FDFL-Scal-mu1,0.6,2.0,5,0.5298425227178529,0.015684993375507765,6.5539601543176875,0.23666290513327776,1.5666955974691323,0.06768927452948496,43.82365875740015,5,Scalarized
FDFL-Scal-mu1,0.6,5.0,5,0.5299822320938024,0.015784625085360254,6.5467900220582695,0.2306979893971144,1.5660384035108534,0.06673106867124223,43.07638986179991,5,Scalarized
FDFL-Scal-mu2,0.6,0.0,5,0.5349929805854774,0.013630693091082025,6.326705301870189,0.2611946496115833,1.5431113951020943,0.0795037600613479,41.573849931599945,5,Scalarized
FDFL-Scal-mu2,0.6,1.0,5,0.5350690413771557,0.013656528687016573,6.325658330128623,0.2593342381986792,1.5429278808525988,0.07903807814309015,40.688531343199976,5,Scalarized
FDFL-Scal-mu2,0.6,5.0,5,0.5353253621208449,0.013897296767475937,6.324440868638473,0.2508861851904818,1.542436253841697,0.07752752041881211,39.45921346199994,5,Scalarized
