canon,imb,lambda,n,reg_m,reg_s,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.6,0.0,5,0.5821166694515163,0.011055965011409805,7.461490503077703,0.12285295999146265,1.627246518647856,0.024827073788578614,8.947090307200005,5,Baseline (fair LP/SOCP)
FPTO,0.6,0.5,5,0.5821240148241851,0.011122707155006637,7.458544893200754,0.12335155778004382,1.6271005898231543,0.02488412475988682,9.11577759280001,5,Baseline (fair LP/SOCP)
FPTO,0.6,1.0,5,0.5821319863284111,0.011189511059204484,7.455586017777273,0.12386507638456996,1.6269531556920593,0.024942222442807235,7.665870460199971,5,Baseline (fair LP/SOCP)
FPTO,0.6,2.0,5,0.5821532235583564,0.011327586313396844,7.449648198331376,0.12493477469408311,1.626660978575441,0.0250635281782451,7.616758162399856,5,Baseline (fair LP/SOCP)
FPTO,0.6,5.0,5,0.5822239986926518,0.011768658277196933,7.43145318309668,0.1284693311669884,1.6257841634544097,0.025511263960988892,7.327092036799877,5,Baseline (fair LP/SOCP)
PTO,0.6,0.0,5,0.5821166694515163,0.011055965011409805,7.461490503077703,0.12285295999146265,1.627246518647856,0.024827073788578614,12.386376232400039,5,Baseline (unfair)
SAA,0.6,0.0,5,0.5832528304573805,0.0,6.446532176024706,0.0,1.6595686426388778,0.0,3.4096200033673084e-05,5,Baseline (unfair)
WDRO,0.6,0.0,5,0.5820879303663931,0.010984937717435962,7.460915507274676,0.12234635225700226,1.6272910806054324,0.02465696231444245,0.2946243012001105,5,Baseline (unfair)
DFL,0.6,0.0,4,0.6266058737206808,0.5146271768911532,26.655856432891554,33.46621500709981,2.3051642258570393,1.130489080421733,413.87942946525015,5,Decision-focused
PLG-kappa1,0.6,0.0,5,0.5254996026437555,0.018834225521187624,7.108525310312507,0.14683157166293676,1.6111941986891374,0.03964480134560539,21.035537754999677,5,"Decision-focused (sched, no fair)"
FDFL,0.6,0.0,4,0.6266058737206808,0.5146271768911532,26.655856432891554,33.46621500709981,2.3051642258570393,1.130489080421733,276.3238098124998,5,Decision-focused + fair
